,0,1,2
0,-71.077909019x,42.3302752099y,100
1,-71.0777405958x,42.3387586687y,95
2,-71.075410825x,42.3090540229y,78
3,-71.068149536x,42.3487697098y,77
4,-71.0761965935x,42.3112996634y,75
5,-71.0756266008x,42.3182026505y,73
6,-71.0887925991x,42.3320386672y,71
7,-71.0738590187x,42.3056181291y,71
8,-71.0707294317x,42.2999261471y,71
9,-71.0920295706x,42.3176601894y,71
10,-71.0690502466x,42.3484082933y,70
11,-71.0649205923x,42.3479786705y,70
12,-71.0928915954x,42.3163342996y,68
13,-71.0756002593x,42.2967884988y,68
14,-71.0733736628x,42.3219274725y,68
15,-71.0817105969x,42.327028666y,67
16,-71.0618211619x,42.3008213314y,67
17,-71.0724610663x,42.3407375515y,66
18,-71.0597697601x,42.3136876118y,66
19,-71.0838399755x,42.3405597744y,65
20,-71.0902905997x,42.3317586667y,64
21,-71.0878410543x,42.3157400349y,64
22,-71.0806620168x,42.2965601132y,64
23,-71.0992906018x,42.3141286629y,64
24,-71.0789391291x,42.3149668545y,63
25,-71.0617294206x,42.301128791y,63
26,-71.0981202064x,42.3139378833y,63
27,-71.0610117719x,42.3083962119y,61
28,-71.0803754192x,42.2924381049y,61
29,-71.0808077055x,42.3073951681y,61
30,-71.0505405859x,42.3313186685y,60
31,-71.1016106026x,42.3165586643y,60
32,-71.062220644x,42.2939667268y,59
33,-71.0713314053x,42.3262170314y,58
34,-71.0504296568x,42.333573722y,58
35,-71.0909705993x,42.3303986662y,58
36,-71.0845005964x,42.316158664y,58
37,-71.0767914549x,42.2877921545y,58
38,-71.1058393826x,42.3217853271y,58
39,-71.0816252357x,42.3068187607y,58
40,-71.0595494086x,42.3203824113y,57
41,-71.0304802924x,42.3785452984y,55
42,-71.0403298246x,42.3782899933y,55
43,-71.0349214343x,42.3809574572y,53
44,-71.0380107182x,42.3780886172y,52
45,-71.0448905841x,42.3328686686y,50
46,-71.0863095667x,42.3209483432y,50
47,-71.073008627x,42.2866089264y,50
48,-71.0581913442x,42.3231761949y,49
49,-71.0910405994x,42.3255486656y,46
50,-71.0521512219x,42.3380258933y,44
51,-71.0343075832x,42.369273676y,43
52,-71.037940082x,42.3715684361y,43
53,-71.0341199492x,42.3696760228y,42
54,-71.073520594x,42.3443686696y,42
55,-71.073520594x,42.3443686696y,42
56,-71.1069106902x,42.325622123y,42
57,-71.0915306002x,42.3414586683y,41
58,-71.0531915373x,42.2865502504y,40
59,-71.0982906028x,42.3330186672y,39
60,-71.0338905839x,42.3752786772y,36
61,-71.1268406081x,42.2864586575y,36
62,-71.0991780212x,42.3305882774y,36
63,-71.0868403249x,42.2821209448y,36
64,-71.1069357708x,42.3262927572y,34
65,-71.0779705964x,42.350578671y,33
66,-71.1249306073x,42.2836386567y,32
67,-71.1177406061x,42.2854086569y,31
68,-71.0533696697x,42.3661027416y,29
69,-71.0384112844x,42.3348707078y,28
70,-71.0950023343x,42.2823146601y,28
71,-71.1129506061x,42.3185086638y,28
72,-71.0809105941x,42.2814186576y,27
73,-71.0809105941x,42.2814186576y,27
74,-71.0491940584x,42.294206177y,26
75,-71.1377006159x,42.352058669y,26
76,-71.1377006159x,42.352058669y,26
77,-71.1065636648x,42.3339314259y,26
78,-71.0644305928x,42.3779986766y,25
79,-71.0943212798x,42.3467726132y,25
80,-71.0571761707x,42.3683352262y,24
81,-71.034890311x,42.3655630051y,23
82,-71.114218913x,42.3186854768y,23
83,-71.1459610587x,42.3504407247y,22
84,-71.0574922452x,42.3766285174y,21
85,-71.1047806004x,42.2672586544y,21
86,-71.1034906017x,42.3089286627y,20
87,-71.1454906178x,42.3490886683y,20
88,-71.0672312443x,42.3790803555y,19
89,-71.1273206071x,42.2567686511y,19
90,-71.1607606237x,42.3521286678y,19
91,-71.061070593x,42.3801186774y,18
92,-71.090429596x,42.276760657y,18
93,-71.0992606033x,42.3434386694y,18
94,-71.0695699268x,42.2812617275y,17
95,-71.077430566x,42.2778607463y,17
96,-71.1016906033x,42.3378986679y,17
97,-71.1270506087x,42.2747986551y,16
98,-71.141050613x,42.2812286561y,16
99,-71.091890597x,42.2717886547y,16
100,-71.1615006236x,42.3510786684y,15
101,-71.1177238312x,42.263217064y,15
102,-71.1144821853x,42.3072082929y,15
103,-71.1178860657x,42.2632278971y,15
104,-71.0041205752x,42.3887986811y,14
105,-71.135330611x,42.2777686556y,14
106,-71.1553485998x,42.3476017035y,14
107,-71.0435005826x,42.3180286655y,14
108,-71.1138674416x,42.3070351533y,14
109,-71.1179278543x,42.2652611924y,13
110,-71.1333206089x,42.251628651y,12
111,-71.1077206019x,42.2867586577y,11
112,-71.1096006044x,42.3060086608y,11
113,-71.1405106172x,42.3420386681y,11
114,-71.1496106142x,42.2607586521y,11
115,-71.1040894432x,42.2758153098y,10
116,-71.1561306166x,42.2634386513y,10
117,-71.0427405832x,42.3176286663y,10
118,-71.0301987438x,42.3321207686y,9
119,-71.1341106162x,42.3607686713y,9
120,-71.1159406061x,42.2946386586y,8
121,-71.1583706186x,42.2829986558y,8
122,-71.1601906227x,42.3455886673y,8
123,-71.1234511662x,42.2429507597y,7
124,-71.106760606x,42.3479486694y,6
125,-71.1625701257x,42.2718858198y,6
126,-71.005045076x,42.3916161795y,6
127,-71.1328806081x,42.233898647y,4
128,-71.152367618x,42.2926606579y,3
129,-71.174340624x,42.2822686542y,2
130,-71.131490611x,42.3055886604y,2
131,-71.174340624x,42.2822686542y,2
